City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
303,mount isa,0,AU,1561498695,31,-20.73,139.49,50.0,1.12
304,avera,1,US,1561498827,55,33.19,-82.53,93.2,6.93
305,escarcega,100,MX,1561498827,34,18.61,-90.75,99.79,6.35
306,ambon,0,FR,1561498827,93,47.55,-2.56,66.99,9.17
307,novovyazniki,73,RU,1561498827,92,56.2,42.16,50.47,3.96
308,faya,40,SA,1561498763,53,18.39,42.45,75.2,4.27
309,antequera,96,PY,1561498827,92,-24.09,-57.2,59.11,15.88
310,karratha,30,AU,1561498734,32,-20.74,116.85,64.51,3.0
311,parede,0,PT,1561498828,82,38.69,-9.36,66.99,8.05
312,gamba,83,CN,1561498828,75,28.28,88.52,42.19,2.66
313,sayat,0,TM,1561498828,29,38.78,63.88,75.2,6.93
314,yining,36,CN,1561498828,97,29.04,114.56,70.09,0.29
315,saint george,20,GR,1561498648,61,39.45,22.34,78.01,2.75
316,krasne,0,UA,1561498829,64,49.91,24.61,71.6,4.47
317,maniitsoq,100,GL,1561498829,82,65.42,-52.9,45.25,13.47
318,sola,75,NO,1561498833,82,58.89,5.65,61.0,3.36
319,mecca,99,SA,1561498452,42,21.43,39.83,88.63,1.25
320,san marcos,75,GT,1561498834,59,14.97,-91.79,91.4,11.41
321,strezhevoy,0,RU,1561498834,71,60.73,77.6,55.4,8.95
322,victoria,75,BN,1561498623,94,5.28,115.24,80.01,1.1
323,mihail eminescu,0,RO,1561498834,73,47.78,26.92,70.0,5.82
324,mansa,75,IN,1561498834,79,23.43,72.66,86.0,4.7
325,masuda,75,JP,1561498835,78,34.68,131.85,71.6,3.36
326,pevek,3,RU,1561498574,80,69.7,170.27,36.07,21.07
327,touros,20,BR,1561498569,78,-5.2,-35.46,78.8,9.17
328,mehamn,75,NO,1561498726,81,71.03,27.85,50.0,14.99
329,newport,90,GB,1561498835,93,51.59,-3.0,64.99,8.05
330,phalombe,0,MW,1561498835,93,-15.81,35.65,57.85,7.34
331,sorland,75,NO,1561498723,76,67.67,12.69,50.0,5.82
332,carutapera,14,BR,1561498836,82,-1.2,-46.02,78.91,6.78
333,kruisfontein,68,ZA,1561498690,89,-34.0,24.73,52.99,15.86
334,matay,0,EG,1561498836,32,28.42,30.79,86.65,21.27
335,dawei,71,MM,1561498836,79,14.07,98.19,82.51,13.73
336,ouadda,100,CF,1561498836,98,8.07,22.4,69.01,5.21
337,rawlins,75,US,1561498837,20,41.79,-107.24,79.0,23.04
338,bambous virieux,75,MU,1561498692,78,-20.34,57.76,73.4,12.75
339,madison,1,US,1561498643,51,43.07,-89.38,82.4,12.75
340,santa cruz de la palma,75,ES,1561498837,73,28.68,-17.76,71.6,17.22
341,ulaanbaatar,20,MN,1561498838,81,47.92,106.92,44.6,2.24
342,bonavista,44,CA,1561498838,86,48.65,-53.11,50.0,1.99
343,kajaani,0,FI,1561498838,76,64.22,27.73,48.2,1.12
344,palanga,100,RO,1561498838,84,44.45,25.08,69.37,7.7
345,pemba,20,MZ,1561498839,94,-12.97,40.52,71.6,9.17
346,tateyama,0,JP,1561498839,68,36.66,137.31,75.0,8.05
347,oussouye,40,SN,1561498839,83,12.49,-16.54,82.4,6.93
348,adre,90,TD,1561498839,25,13.47,22.2,88.81,6.24
349,moses lake,1,US,1561498822,23,47.13,-119.28,79.0,8.05
350,darnah,0,LY,1561498839,84,32.77,22.64,76.93,19.89
